# ----------------------------------------
# Queries: Organic Google Search query
# Account: Baton Rouge GA Webpage
# Property: Baton Rouge GA Webpage
# ----------------------------------------
# 
# All Users
# Start date: 20241020
# End date: 20251020
Organic Google Search query,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position
baton rouge gambling,0,809,0,16.860321384425216
baton rouge georgia,0,3,0,15
baton rouge meetup,0,15,0,74.2
baton rouge meetups,0,78,0,65.17948717948718
baton rouge pr,0,144,0,73.86805555555556
baton rouge public relations,0,163,0,67.37423312883436
baton rouge this weekend,0,1,0,91
betting anonymous,0,21,0,65.42857142857143
bettors anonymous,0,1,0,48
call gamblers anonymous,0,71,0,69
casinos baton rouge,0,2,0,62
closed meeting gamblers anonymous,0,156,0,72.03205128205128
g a meetings,0,2,0,20
g a meetings near me,0,1,0,6
ga 12 steps,0,11,0,65.63636363636364
ga 20 questions,0,8,0,44.875
ga anon,0,4,0,71
ga anon ib,0,4,0,9.75
ga anonymous,0,28,0,37.57142857142857
ga anonymous meetings,0,2,0,58.5
ga gambler,0,5,0,76.2
ga gambling,0,12,0,60.25
ga groups,0,1,0,98
ga meeting,0,19,0,24.31578947368421
ga meeting list,0,67,0,28.70149253731343
ga meeting near me,0,11,0,40.18181818181818
ga meeting online,0,3,0,63.666666666666664
ga meetings,0,54,0,23.555555555555557
ga meetings in my area,0,2,0,5
ga meetings online,0,13,0,72.53846153846153
ga meetings zoom,0,1,0,43
ga near me,0,6,0,15.666666666666666
ga online meetings,0,7,0,53.57142857142857
ga steps,0,1,0,101
ga virtual meetings,0,18,0,57.5
ga zoom meetings,0,5,0,69.4
gam anon,0,22,0,55.68181818181818
gam anon 12 steps,0,22,0,32
gam anon for family,0,72,0,34.56944444444444
gam anon literature,0,2,0,83
gam anon meeting,0,6,0,65.66666666666667
gam anon meetings,0,21,0,55.333333333333336
gam anon meetings near me,0,6,0,56.5
gam anon near me,0,2,0,49.5
gam anon virtual meetings,0,7,0,43.57142857142857
gam-anon,0,57,0,43.50877192982456
gam-anon hotline,0,145,0,77.43448275862069
gam-anon meetings,0,99,0,61.505050505050505
gam-anon meetings near me,0,4,0,27.25
gam-anon virtual meetings,0,2,0,50
gamanon,0,4,0,59.5
gamanon meetings,0,1,0,99
gambers anonymous,0,1,0,49
gamble anonymous,0,1,0,83
gambler anon,0,1,0,35
gambler anonymous,0,64,0,32.25
gambler anonymous 12 step program,0,55,0,70.03636363636363
gambler anonymous hotline,0,12,0,56.333333333333336
gambler anonymous meeting near me,0,3,0,26.666666666666668
gambler anonymous meetings,0,8,0,14.625
gambler anonymous meetings near me,0,4,0,8.25
gambler anonymous near me,0,6,0,8
gambler anonymous number,0,27,0,53.18518518518518
gambler anonymous phone number,0,1,0,55
gambler anonymous zoom meetings,0,1,0,64
gambler's anonymous,0,17,0,46.588235294117645
gamblers ananymous,0,2,0,38.5
gamblers annomous,0,1,0,6
gamblers annonomous,0,2,0,39.5
gamblers annonoymous,0,1,0,70
gamblers annonymous,0,5,0,48.8
gamblers annonymus,0,1,0,69
gamblers annoymous,0,1,0,49
gamblers anon,0,32,0,55.6875
gamblers anonamous,0,1,0,69
gamblers anonomous,0,2,0,54
gamblers anonomys,0,1,0,78
gamblers anonymes,0,1,0,97
gamblers anonymos,0,1,0,69
gamblers anonymous 12 step program,0,13,0,74.61538461538461
gamblers anonymous 12 steps,0,72,0,58.43055555555556
gamblers anonymous 20 questions,0,44,0,70.45454545454545
gamblers anonymous 20 questions pdf,0,3,0,43.666666666666664
gamblers anonymous baton rouge,0,1,0,1
gamblers anonymous blue book,0,1,0,51
gamblers anonymous cards,0,101,0,59.05940594059406
gamblers anonymous coins,0,5,0,45.8
gamblers anonymous conference 2025,0,1,0,56
gamblers anonymous contact,0,110,0,74.83636363636364
gamblers anonymous contact number,0,7,0,53
gamblers anonymous dallas,0,5,0,42.6
gamblers anonymous derry,0,1,0,3
gamblers anonymous family support,0,1,0,64
gamblers anonymous for families,0,1,0,63
gamblers anonymous forum,0,1,0,58
gamblers anonymous free literature,0,1,0,60
gamblers anonymous georgia,0,3,0,43.666666666666664
gamblers anonymous group,0,1,0,70
gamblers anonymous helpline,0,11,0,58.81818181818182
gamblers anonymous hotline,0,39,0,67.82051282051282
gamblers anonymous houston,0,2,0,40.5
gamblers anonymous international,0,2,0,67.5
gamblers anonymous international meetings,0,23,0,59.78260869565217
gamblers anonymous iso,0,2,0,58
gamblers anonymous keychains,0,4,0,19.25
gamblers anonymous literature,0,5,0,83.8
gamblers anonymous locations,0,1,0,5
gamblers anonymous los angeles,0,10,0,44.7
gamblers anonymous louisville ky,0,2,0,39.5
gamblers anonymous meaning,0,1,0,79
gamblers anonymous meeting,0,31,0,27.516129032258064
gamblers anonymous meeting nearby,0,83,0,63.963855421686745
gamblers anonymous meeting topics,0,6,0,78.16666666666667
gamblers anonymous meetings list,0,1,0,69
gamblers anonymous meetings los angeles,0,1,0,13
gamblers anonymous meetings online,0,10,0,65.5
gamblers anonymous milwaukee,0,3,0,38.666666666666664
gamblers anonymous number,0,48,0,71.1875
gamblers anonymous online,0,1,0,70
gamblers anonymous online meeting,0,1,0,52
gamblers anonymous online meetings,0,20,0,42.9
gamblers anonymous phone number,0,75,0,62.266666666666666
gamblers anonymous pittsburgh,0,1,0,55
gamblers anonymous prayer,0,1,0,34
gamblers anonymous questions,0,2,0,52
gamblers anonymous steps,0,6,0,60.333333333333336
gamblers anonymous stories,0,2,0,76.5
gamblers anonymous support group,0,2,0,69.5
gamblers anonymous telephone number,0,17,0,86.82352941176471
gamblers anonymous topics,0,1,0,54
gamblers anonymous usa,0,3,0,58.666666666666664
gamblers anonymous virtual meeting,0,1,0,38
gamblers anonymous virtual meetings,0,26,0,53.92307692307692
gamblers anonymous website,0,7,0,49.142857142857146
gamblers anonymous writing the steps,0,1,0,50
gamblers anonymous zoom,0,11,0,66.9090909090909
gamblers anonymous zoom meetings,0,7,0,60
gamblers anonymous.,0,1,0,56
gamblers anonymous.org,0,1,0,31
gamblers anonymus,0,2,0,64
gamblers anoymous,0,1,0,70
gamblers anymous,0,1,0,69
gamblers bonus phone number,0,7,0,65
gamblers meetings near me,0,2,0,29
gamblers.anonymous,0,3,0,62.333333333333336
gamblersanonymous,0,3,0,34
gambling,0,1,0,1
gambling 12 step program,0,1,0,73
gambling 12 steps,0,3,0,61.666666666666664
gambling aa,0,1,0,89
gambling addiction anonymous,0,1,0,70
gambling addiction groups near me,0,3,0,6
gambling addiction help near me,0,3,0,9.666666666666666
gambling addiction meeting,0,1,0,10
gambling addiction meeting near me,0,1,0,8
gambling addiction meetings,0,2,0,27.5
gambling addiction meetings near me,0,1,0,1
gambling addiction treatment,0,3,0,91.66666666666667
gambling addicts anonymous,0,2,0,63.5
gambling annonymous,0,15,0,35.53333333333333
gambling annoymous,0,1,0,69
gambling anon,0,20,0,79.5
gambling anonomous,0,1,0,62
gambling anonymous 12 steps,0,41,0,61.21951219512195
gambling anonymous meeting,0,1,0,1
gambling anonymous meetings online,0,5,0,60
gambling anonymous number,0,1,0,84
gambling anonymous online meetings,0,11,0,44.54545454545455
gambling anonymous phone number,0,2,0,95.5
gambling anonymous zoom meetings,0,2,0,44.5
gambling baton rouge,0,14,0,18.642857142857142
gambling counselling near me,0,1,0,9
gambling ga,0,5,0,90.4
gambling in baton rouge,0,88,0,25.011363636363637
gambling in baton rouge louisiana,0,4,0,23.75
gambling meetings,0,6,0,46.166666666666664
gambling meetings near me,0,10,0,24.4
gambling meetings online,0,2,0,63.5
gambling questions,0,7,0,80.85714285714286
gambling rehab,0,1,0,30
gambling rehab near me,0,3,0,11.333333333333334
gambling support groups near me,0,1,0,3
gambling+anonymous,0,9,0,43.111111111111114
gameetings,0,2,0,81
gamers anonymous near me,0,1,0,8
how does gamblers anonymous work,0,47,0,53.319148936170215
how to start a gamblers anonymous meeting,0,1,0,2
illusion gambler,0,2,0,73.5
is gamblers anonymous effective,0,166,0,66.78915662650603
is gamblers anonymous free,0,1,0,100
is there a gamblers anonymous near me,0,1,0,12
las vegas gamblers anonymous,0,1,0,50
local gamblers anonymous,0,2,0,81
local gamblers anonymous meetings,0,50,0,68.04
louisiana association on compulsive gambling,0,9,0,45.77777777777778
louisiana gambling hotline,0,1,0,76
meeting ga,0,1,0,35
meetings in biloxi,0,9,0,97.88888888888889
number for gamblers anonymous,0,9,0,80
online ga meeting,0,2,0,51
online ga meetings,0,6,0,70.66666666666667
online gamblers anonymous,0,4,0,67.25
online gamblers anonymous meetings,0,7,0,66.28571428571429
online gambling anonymous,0,2,0,89
online gambling anonymous meetings,0,8,0,65.5
phone number for gamblers anonymous,0,28,0,75.85714285714286
public awareness baton rouge,0,1,0,80
public relations baton rouge,0,155,0,70.38709677419355
questions about gambling,0,4,0,71.75
rouge pr,0,1,0,41
seashore united methodist assembly,0,1,0,29
step 1 gamblers anonymous,0,1,0,53
the requirement to join gamblers anonymous is,0,16,0,29.5625
topics for gamblers anonymous meetings,0,4,0,55.5
virtual ga meetings,0,4,0,54
virtual gamblers anonymous meetings,0,9,0,62
what are the 12 steps of gamblers anonymous,0,6,0,52.5
what does gamblers anonymous do,0,10,0,63.8
what happens at gamblers anonymous meetings,0,3,0,2.333333333333333
what is a ga meeting,0,5,0,67.8
what is ga anonymous,0,1,0,87
what is ga meeting,0,4,0,81.75
what is gamblers,0,4,0,91.25
what is gamblers anonymous,0,11,0,68.0909090909091
wheelchair ramp baton rouge,0,1,0,68
who do you call for gamblers anonymous,0,114,0,84.34210526315789
who to call for gamblers anonymous,0,93,0,73.33333333333333
zoom ga meetings,0,1,0,73
zoom gamblers anonymous meetings,0,6,0,52
